text,label_class,label_author,source_id,label,author,sample_id,ttr,n_tokens,n_types,adj_noun_ratio,avg_dep_depth,flesch_kincaid,n_sentences,avg_sentence_len,punct_;,punct_—,punct_!,punct_?,"punct_,",punct_.,punct_:,punct_(,punct_),func_the,func_of,func_and,func_to,func_a,func_in,func_that,func_it,func_is,func_was,func_for,func_on,func_as,func_with,func_his,func_he,func_be,func_at,func_by,func_this
"But the compassionate feelings of a friend of her father gave a change
to her destiny. This was Colonel Campbell, who had very highly regarded
Fairfax, as an excellent officer and most deserving young man; and
farther, had been indebted to him for such attentions, during a severe
camp-fever, as he believed had saved his life. These were claims which
he did not learn to overlook, though some years passed away from the
death of poor Fairfax, before his own return to England put any thing
in his power. When he did return, he sought out the child and took
notice of her. He was a married man, with only one living child, a
girl, about Jane’s age: and Jane became their guest, paying them long
visits and growing a favourite with all; and before she was nine years
old, his daughter’s great fondness for her, and his own wish of being a
real friend, united to produce an offer from Colonel Campbell of
undertaking the whole charge of her education. It was accepted; and
from that period Jane had belonged to Colonel Campbell’s family, and
had lived with them entirely, only visiting her grandmother from time
to time.",A,Austen,Austen_158,Human,Austen,train_0,0.595,200,119,0.3333333333333333,4.315789473684211,13.888718592964825,6,33.333333333333336,2.6833631484794274,0.0,0.0,0.0,15.205724508050091,5.366726296958855,0.8944543828264758,0.0,0.0,20.0,35.0,45.0,35.0,35.0,5.0,5.0,5.0,0.0,20.0,10.0,0.0,10.0,15.0,25.0,25.0,0.0,0.0,0.0,5.0
"For such reasons, I was very glad when ten o’clock came and we started
for Miss Havisham’s; though I was not at all at my ease regarding the
manner in which I should acquit myself under that lady’s roof. Within a
quarter of an hour we came to Miss Havisham’s house, which was of old
brick, and dismal, and had a great many iron bars to it. Some of the
windows had been walled up; of those that remained, all the lower were
rustily barred. There was a courtyard in front, and that was barred; so
we had to wait, after ringing the bell, until some one should come to
open it. While we waited at the gate, I peeped in (even then Mr.
Pumblechook said, “And fourteen?” but I pretended not to hear him), and
saw that at the side of the house there was a large brewery. No brewing
was going on in it, and none seemed to have gone on for a long long
time.",A,Dickens,Dickens_1400,Human,Dickens,train_1,0.5602409638554217,166,93,0.3448275862068966,3.736842105263158,7.139285714285716,7,23.714285714285715,3.541912632821724,0.0,0.0,1.1806375442739079,14.167650531286895,8.264462809917356,0.0,1.1806375442739079,1.1806375442739079,42.16867469879518,30.120481927710845,42.16867469879518,36.144578313253014,30.120481927710845,24.096385542168676,24.096385542168676,18.072289156626507,0.0,42.16867469879518,18.072289156626507,12.048192771084338,0.0,0.0,0.0,0.0,0.0,24.096385542168676,0.0,0.0
"The jagged scar tracing the line of his jaw was a permanent ledger of the worst decision he ever made. Every morning, as he dragged the razor carefully around the raised tissue, he was forced to remember the scent of cheap whiskey, the blinding glare of the oncoming headlights, and the terrifying sound of rending metal. For years, he had grown out his beard to hide it, ashamed of the visible evidence of his reckless youth. But as he aged, the urge to conceal the flaw diminished. The scar had become a map of his own survival, a daily reminder of the chaotic forces he had narrowly outrun. He touched the uneven skin with a quiet reverence, accepting that true redemption lay not in pretending the accident never happened, but in proving himself worthy of the second chance it had violently afforded him.",B,,AI_Gen_45,AI_Generic,,train_2,0.6503496503496503,143,93,0.6,4.0754716981132075,11.446258741258742,6,23.833333333333332,0.0,0.0,0.0,0.0,12.376237623762377,7.425742574257425,0.0,0.0,0.0,118.88111888111888,69.93006993006993,6.993006993006993,20.97902097902098,27.972027972027973,13.986013986013987,6.993006993006993,13.986013986013987,0.0,13.986013986013987,6.993006993006993,0.0,13.986013986013987,6.993006993006993,27.972027972027973,48.95104895104895,0.0,0.0,0.0,0.0
"The social ladder is an infinitely treacherous construction, and no one feels its swaying quite so acutely as the family clinging desperately to the middle rungs. The Harcourts lived in a perpetual, agonizing terror that a sudden reversal of fortune, or a poorly timed visit from a vulgar uncle in trade, might send them tumbling back into the obscurity from which their grandfather had so painstakingly climbed. They overcompensated by adopting a rigid adherence to propriety that the truly wealthy never bothered to observe. They corrected each other's pronunciation, lived beyond their means to keep a carriage they rarely used, and viewed every social interaction as a terrifying examination they were destined to fail. The true tragedy of social aspiration is not the difficulty of the climb, but the exhausting, joyless anxiety of maintaining one's grip upon a remarkably slippery perch.",C,Austen,AI_Imp_A_40,AI_Impostor,Austen,train_3,0.7092198581560284,141,100,0.5862068965517241,4.698717948717949,16.413673758865247,5,28.2,0.0,0.0,0.0,0.0,8.958566629339305,5.599104143337066,0.0,0.0,0.0,70.92198581560284,28.368794326241133,14.184397163120567,35.46099290780142,56.737588652482266,14.184397163120567,14.184397163120567,0.0,14.184397163120567,0.0,0.0,0.0,14.184397163120567,0.0,0.0,0.0,0.0,0.0,7.092198581560283,0.0
"Indeed I think it quite
melancholy to have such excellent people as Dr and Mrs Shirley, who
have been doing good all their lives, wearing out their last days in a
place like Uppercross, where, excepting our family, they seem shut out
from all the world. I wish his friends would propose it to him. I
really think they ought. And, as to procuring a dispensation, there
could be no difficulty at his time of life, and with his character. My
only doubt is, whether anything could persuade him to leave his parish. He is so very strict and scrupulous in his notions; over-scrupulous I
must say. Do not you think, Anne, it is being over-scrupulous? Do not
you think it is quite a mistaken point of conscience, when a clergyman
sacrifices his health for the sake of duties, which may be just as well
performed by another person? And at Lyme too, only seventeen miles off,
he would be near enough to hear, if people thought there was anything
to complain of.”",A,Austen,Austen_105,Human,Austen,train_4,0.6171428571428571,175,108,0.3548387096774194,3.9631336405529956,8.20840077071291,9,19.444444444444443,1.050420168067227,0.0,0.0,2.100840336134454,16.80672268907563,7.352941176470588,0.0,0.0,0.0,11.428571428571429,22.857142857142858,28.57142857142857,34.285714285714285,22.857142857142858,11.428571428571429,0.0,22.857142857142858,22.857142857142858,5.714285714285714,5.714285714285714,0.0,17.142857142857142,5.714285714285714,34.285714285714285,11.428571428571429,17.142857142857142,11.428571428571429,5.714285714285714,0.0
"Holding the pale, bruised hand amidst the tangle of IV lines, he felt his own physical vitality draining away, siphoned off by the sheer gravity of witnessing the decline. He sat in the vinyl chair for the sixth consecutive day, his spine aching, his eyes burning from the fluorescent lights that never dimmed. To love someone through the process of dying was a brutal endurance event, a willing surrender to exhaustion and profound helplessness, anchored only by the desperate need to ensure that the man he loved The hospital room hummed with the sterile, rhythmic noise of the ventilator, marking time in a space where hours had ceased to hold any meaning. He had stopped answering texts from concerned friends, lacking the emotional bandwidth to summarize his husband's deteriorating condition.",B,,AI_Gen_130,AI_Generic,,train_5,0.7307692307692307,130,95,0.4166666666666667,5.551724137931035,15.51115384615385,4,32.5,0.0,0.0,0.0,0.0,12.531328320802004,5.012531328320802,0.0,0.0,0.0,107.6923076923077,30.76923076923077,7.6923076923076925,38.46153846153847,23.076923076923077,15.384615384615385,15.384615384615385,0.0,0.0,7.6923076923076925,7.6923076923076925,0.0,0.0,7.6923076923076925,30.76923076923077,30.76923076923077,0.0,0.0,15.384615384615385,0.0
"Elliot felt not the slightest pang of conscience for having abandoned his friend to debtor’s prison, a circumstance he viewed as an unavoidable consequence of his own necessity for a new carriage. Guilt is a highly subjective emotion, its intensity often entirely dependent upon the likelihood of public exposure. He suffered all the agonies of the damned, not for the injury done to the young woman's character, but for the very real peril to his own expected inheritance, demonstrating an exquisite sensitivity to moral failings whenever they carried a financial penalty. Mr. However, when a minor indiscretion involving a chambermaid threatened to reach the ears of his wealthy aunt, his remorse was sudden, profound, and exceedingly vocal. The Assize week, which brought the judges of the realm to the county town, was anticipated with the greatest eagerness, not for the triumph of justice, but for the resulting assemblies and balls. It was considered quite the most festive time of the year.",C,Austen,AI_Imp_A_91,AI_Impostor,Austen,train_6,0.675,160,108,0.45454545454545453,4.252747252747253,14.956987577639755,7,22.857142857142858,0.0,0.0,0.0,0.0,13.026052104208416,7.014028056112225,0.0,0.0,0.0,106.25,50.0,12.5,37.5,37.5,0.0,0.0,6.25,6.25,18.75,37.5,0.0,6.25,6.25,31.25,12.5,0.0,0.0,0.0,0.0
"At a corner table, a girl sat alone, carefully unwrapping a sandwich made of generic white bread and a single slice of processed cheese. She absorbed the subtle exclusions, the whispered jokes, and the knowing glances, internalizing them as undeniable truths about her own worth. The school cafeteria was a loud, chaotic theater of adolescent cruelty. His innocence was eroding not in a single traumatic moment, but through the daily, grinding attrition of living in a war zone. The hospital room was painted a cheerful, forced yellow, completely at odds with the sterile smell of antiseptic and the rhythmic beeping of the monitors. In room 312, a seven-year-old girl with a bald head and translucent skin was methodically coloring a picture of a vibrantly purple horse. She mourned not for the structural collapse of a house, but for the disruption of her small, vital attachments, seeking comfort in a ruined toy while the adult world crumbled.",B,,AI_Gen_132,AI_Generic,,train_7,0.6751592356687898,157,106,0.5952380952380952,3.867403314917127,12.011684981684983,7,22.428571428571427,0.0,0.0,0.0,0.0,14.78352692713833,7.391763463569165,0.0,0.0,0.0,76.43312101910827,57.32484076433121,25.477707006369428,0.0,89.17197452229298,25.477707006369428,0.0,0.0,0.0,25.477707006369428,12.738853503184714,0.0,6.369426751592357,12.738853503184714,6.369426751592357,0.0,0.0,12.738853503184714,0.0,0.0
"The towering glass structures funneled the bitter winds down to the pavement, creating artificial canyons of freezing air. The storm drains roared, attempting to swallow the deluge as the city effectively cleared its throat, washing away the accumulated grit and discarded lottery tickets of the week. The historic brick warehouses, which had served as the city’s working-class muscle for a century, were gutted and replaced by sleek, fragile condominiums made of glass and steel. The rhythmic pounding of pile drivers echoed through the avenues, a metallic heartbeat demanding the attention of anyone within a three-mile radius. While the real estate developers viewed it as necessary growth, to the locals being pushed to the margins, it felt like an autoimmune disease, a terrifying process where the city’s new, aggressive cells were actively attacking and erasing the vital organs of its own cultural history.",B,,AI_Gen_111,AI_Generic,,train_8,0.7222222222222222,144,104,0.38095238095238093,4.353658536585366,15.429661971830988,5,28.8,0.0,0.0,0.0,0.0,12.035010940919038,5.470459518599562,0.0,0.0,0.0,125.0,41.666666666666664,27.777777777777775,27.777777777777775,27.777777777777775,0.0,0.0,13.888888888888888,0.0,0.0,6.944444444444444,0.0,20.833333333333332,0.0,0.0,0.0,0.0,0.0,6.944444444444444,0.0
"For years after it occurred, I dreamed of it often. I have started up so
vividly impressed by it, that its fury has yet seemed raging in my quiet
room, in the still night. I dream of it sometimes, though at lengthened
and uncertain intervals, to this hour. I have an association between it
and a stormy wind, or the lightest mention of a sea-shore, as strong as
any of which my mind is conscious. As plainly as I behold what happened,
I will try to write it down. I do not recall it, but see it done; for it
happens again before me.",A,Dickens,Dickens_766,Human,Dickens,train_9,0.6857142857142857,105,72,0.6666666666666666,3.7751937984496124,6.941153846153846,7,15.0,1.8796992481203008,0.0,0.0,0.0,16.917293233082706,11.278195488721805,0.0,0.0,0.0,19.04761904761905,38.0952380952381,19.04761904761905,19.04761904761905,19.04761904761905,19.04761904761905,9.523809523809526,85.71428571428571,9.523809523809526,0.0,19.04761904761905,0.0,38.0952380952381,0.0,0.0,0.0,0.0,9.523809523809526,9.523809523809526,9.523809523809526
