text,label_class,label_author,source_id,label,author,sample_id
"“He did not stipulate for any particular sum, my dear Fanny; he only requested me, in general terms, to assist them, and make their situation more comfortable than it was in his power to do. Perhaps it would have been as well if he had left it wholly to myself. He could hardly suppose I should neglect them. But as he required the promise, I could not do less than give it; at least I thought so at the time. The promise, therefore, was given, and must be performed. Something must be done for them whenever they leave Norland and settle in a new home.”",A,Austen,Austen_161,Human,Austen,train_0
"What a majestic, towering edifice is the English justice system, a labyrinth of bureaucratic absurdities and staggering contradictions! An aristocratic banker may quietly embezzle the savings of a hundred widows, and society will murmur sympathetically of his unfortunate financial miscalculations, affording him a comfortable exile and a slap upon the wrist. Yet, let a starving, illiterate mother snatch a shilling scarf to wrap her freezing infant, and the full, crushing weight of the law descends upon her frail shoulders! She is branded a vicious felon, lectured upon her moral failings by gentlemen bloated on excessive dinners, and shipped across the ocean in the lightless hold of a convict ship. Justice is ostensibly blind, but she possesses a remarkably keen sense of smell, always managing to sniff out the difference between the crimes of the parlor and the crimes of the gutter.",C,Dickens,AI_Imp_D_41,AI_Impostor,Dickens,train_1
"Down by the river's edge, where the black mud sucks at the rotting timber of ancient wharves, there lay a labyrinth of such desperate destitution that the very air seemed to weep with it; a miserable tangle of leaning tenements where the wretched and the ruined sought shelter from the unforgiving wind. Here, the industrious poor—hollow-eyed men in threadbare coats and women whose youth had been crushed beneath the millstone of unceasing toil—huddled around feeble fires of stolen coal. They possessed nothing but the breath in their lungs and the gnawing ache in their bellies, surviving from one bleak, fog-choked morning to the next, while the great, glittering city beyond turned a blind and uncaring eye to their silent, collective agony.",C,Dickens,AI_Imp_D_0,AI_Impostor,Dickens,train_2
"Bringing her fiance back to the rusted, aluminum-sided house where she grew up was an exercise in suppressed panic. She watched him carefully navigate the slanted porch steps, his expensive Italian loafers looking absurdly out of place against the peeling paint. Inside, her mother offered them off-brand soda in mismatched plastic cups, while the television blared a daytime game show in the background. She could see him trying too hard to be gracious, his polite smile stretched tight across his face. Every time he complimented the faded floral wallpaper or the cramped kitchen, she felt a flare of defensive anger. She had spent a decade scrubbing this neighborhood from her vocabulary, acquiring degrees and cultural capital, only to realize that upward mobility had irrevocably alienated her from the only people who had known her before she learned how to pretend.",B,None,AI_Gen_37,AI_Generic,None,train_3
"There is a specific, exquisite awkwardness in encountering a former acquaintance whom one had previously slighted, only to discover that the turning wheel of fortune has placed them in a position of undeniable superiority. The memory of past rudeness hangs between them like an invisible, suffocating fog. The gentleman who once declined to dance with a portionless girl must now bow before her as the mistress of the greatest estate in the county, agonizingly aware that she recalls his former disdain with perfect exactness. He attempts a polite inquiry about the weather, whilst his memory bitterly recites every foolish, arrogant word he ever spoke. It is a moment of profound regret, proving that the sins of snobbery exact a heavy, humiliating toll when the social tables are inevitably turned, and the discarded victim becomes the arbiter of his present consequence.",C,Austen,AI_Imp_A_44,AI_Impostor,Austen,train_4
"Beneath the sparkling surface of witty banter and ironic detachment, true affection operates with a silent, steadfast power. A man may disguise his devotion behind a mask of teasing criticism, and a woman may answer him with a playful mockery that entirely conceals her trembling heart. The greatest sacrifice they make is the eventual surrender of this very armor, the terrifying moment when pride is abandoned, irony is laid aside, and they must speak with an earnestness that leaves them entirely vulnerable to the possibility of rejection. It is a risk that requires more courage than facing a charging regiment.",C,Austen,AI_Imp_A_26,AI_Impostor,Austen,train_5
"Some medical beast had revived Tar-water in those days as a fine medicine, and Mrs. Joe always kept a supply of it in the cupboard; having a belief in its virtues correspondent to its nastiness. At the best of times, so much of this elixir was administered to me as a choice restorative, that I was conscious of going about, smelling like a new fence. On this particular evening the urgency of my case demanded a pint of this mixture, which was poured down my throat, for my greater comfort, while Mrs. Joe held my head under her arm, as a boot would be held in a bootjack. Joe got off with half a pint; but was made to swallow that (much to his disturbance, as he sat slowly munching and meditating before the fire), “because he had had a turn.” Judging from myself, I should say he certainly had a turn afterwards, if he had had none before.",A,Dickens,Dickens_1400,Human,Dickens,train_6
"The gentrification of the old waterfront was a brutal cellular replacement. The historic brick warehouses, which had served as the city’s working-class muscle for a century, were gutted and replaced by sleek, fragile condominiums made of glass and steel. The new developments spread like a highly profitable virus, consuming the dive bars, the independent bodegas, and the long-time residents who could no longer afford the suddenly inflated property taxes. The city was molting, shedding its industrial skin for a sanitized, heavily curated aesthetic. While the real estate developers viewed it as necessary growth, to the locals being pushed to the margins, it felt like an autoimmune disease, a terrifying process where the city’s new, aggressive cells were actively attacking and erasing the vital organs of its own cultural history.",B,None,AI_Gen_85,AI_Generic,None,train_7
"The diner at the edge of the highway was a sanctuary for those who worked the graveyard shift. Under the sickly yellow glow of a flickering neon sign, men in soiled coveralls and women in polyester uniforms hunched over plates of lukewarm eggs. The air smelled of stale coffee and industrial cleaner. They spoke in low murmurs, sharing the universal language of calloused hands and aching lower backs. There was a quiet solidarity in the room, a shared understanding of what it meant to trade the best hours of one's life for a wage that evaporated before it was even cashed. They were the invisible gears of the local economy, the people who swept the floors, fixed the roads, and drove the trucks, existing in the liminal spaces of the night while the rest of the world slept in comfortable ignorance.",B,None,AI_Gen_55,AI_Generic,None,train_8
"Forgiveness is an elegant concept in theory, but the practical application of pardoning oneself for past idiocy is the arduous labor of a lifetime. A woman may sincerely repent of her youthful flirtations and the pain they caused to a devoted heart, but the memory of her own frivolity remains a quiet, persistent shadow upon her conscience. She cannot undo the careless words, nor erase the tears she so thoughtlessly provoked. Redemption, she learns, is not a sudden, magical erasure of the past, but the steady, daily practice of a kindness she had once despised. It is the quiet determination to prefer the comfort of others over her own amusement, a continuous penance that gradually transmutes the sharp sting of regret into the gentle, enduring wisdom that only a truly humbled spirit can ever hope to possess.",C,Austen,AI_Imp_A_45,AI_Impostor,Austen,train_9
